IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
35.247.124.181,443,true,SEA,North America,Seattle,196 ms,8899 kB/s
34.65.130.191,443,true,FRA,Europe,Frankfurt,229 ms,7138 kB/s
34.154.127.225,443,true,FRA,Europe,Frankfurt,237 ms,6465 kB/s
35.234.95.210,443,true,FRA,Europe,Frankfurt,237 ms,6361 kB/s
34.65.27.255,443,true,FRA,Europe,Frankfurt,227 ms,6212 kB/s
34.65.189.218,443,true,FRA,Europe,Frankfurt,229 ms,6053 kB/s
34.65.249.150,443,true,FRA,Europe,Frankfurt,230 ms,5987 kB/s
34.65.24.103,443,true,FRA,Europe,Frankfurt,230 ms,5777 kB/s
34.65.169.129,443,true,FRA,Europe,Frankfurt,241 ms,5670 kB/s
34.89.175.126,443,true,FRA,Europe,Frankfurt,247 ms,5583 kB/s
34.65.183.109,443,true,FRA,Europe,Frankfurt,232 ms,5532 kB/s
34.91.177.185,443,true,FRA,Europe,Frankfurt,248 ms,5436 kB/s
34.32.165.33,443,true,FRA,Europe,Frankfurt,237 ms,5398 kB/s
34.154.85.218,443,true,FRA,Europe,Frankfurt,236 ms,5333 kB/s
34.65.19.239,443,true,FRA,Europe,Frankfurt,231 ms,5316 kB/s
34.118.17.244,443,true,FRA,Europe,Frankfurt,271 ms,5263 kB/s
34.154.121.158,443,true,AMS,Europe,Amsterdam,239 ms,5262 kB/s
34.65.141.48,443,true,FRA,Europe,Frankfurt,232 ms,5178 kB/s
34.154.59.27,443,true,FRA,Europe,Frankfurt,244 ms,5156 kB/s
34.118.1.28,443,true,FRA,Europe,Frankfurt,253 ms,5087 kB/s
34.118.106.179,443,true,FRA,Europe,Frankfurt,242 ms,5083 kB/s
34.154.49.18,443,true,FRA,Europe,Frankfurt,243 ms,5041 kB/s
34.118.33.218,443,true,FRA,Europe,Frankfurt,269 ms,4971 kB/s
34.116.220.129,443,true,FRA,Europe,Frankfurt,257 ms,4914 kB/s
34.34.4.57,443,true,FRA,Europe,Frankfurt,244 ms,4789 kB/s
34.118.36.2,443,true,FRA,Europe,Frankfurt,249 ms,4741 kB/s
34.116.228.105,443,true,FRA,Europe,Frankfurt,264 ms,4733 kB/s
34.116.232.207,443,true,FRA,Europe,Frankfurt,241 ms,4719 kB/s
34.154.237.161,443,true,FRA,Europe,Frankfurt,246 ms,4658 kB/s
34.65.70.151,443,true,FRA,Europe,Frankfurt,222 ms,4630 kB/s
34.65.127.145,443,true,FRA,Europe,Frankfurt,241 ms,4558 kB/s
34.118.92.152,443,true,FRA,Europe,Frankfurt,265 ms,4506 kB/s
35.204.40.100,443,true,FRA,Europe,Frankfurt,245 ms,4486 kB/s
34.90.157.98,443,true,FRA,Europe,Frankfurt,251 ms,4453 kB/s
34.65.77.80,443,true,FRA,Europe,Frankfurt,240 ms,4451 kB/s
34.118.62.132,443,true,FRA,Europe,Frankfurt,256 ms,4446 kB/s
34.116.143.167,443,true,FRA,Europe,Frankfurt,257 ms,4429 kB/s
34.118.62.176,443,true,FRA,Europe,Frankfurt,257 ms,4423 kB/s
34.116.239.73,443,true,FRA,Europe,Frankfurt,237 ms,4378 kB/s
34.91.47.18,443,true,FRA,Europe,Frankfurt,237 ms,4300 kB/s
34.118.57.241,443,true,FRA,Europe,Frankfurt,237 ms,4195 kB/s
34.116.251.75,443,true,FRA,Europe,Frankfurt,251 ms,4175 kB/s
34.91.54.160,443,true,FRA,Europe,Frankfurt,252 ms,4158 kB/s
34.116.143.230,443,true,FRA,Europe,Frankfurt,275 ms,4139 kB/s
34.116.212.40,443,true,FRA,Europe,Frankfurt,246 ms,3954 kB/s
34.154.119.138,443,true,FRA,Europe,Frankfurt,240 ms,3892 kB/s
34.116.224.197,443,true,FRA,Europe,Frankfurt,254 ms,3865 kB/s
34.147.119.30,443,true,FRA,Europe,Frankfurt,237 ms,3791 kB/s
34.118.99.19,443,true,FRA,Europe,Frankfurt,258 ms,3653 kB/s
34.118.2.200,443,true,FRA,Europe,Frankfurt,260 ms,3653 kB/s
34.116.191.48,443,true,FRA,Europe,Frankfurt,268 ms,3650 kB/s
34.65.13.217,443,true,FRA,Europe,Frankfurt,243 ms,3568 kB/s
34.118.53.207,443,true,FRA,Europe,Frankfurt,242 ms,3525 kB/s
34.118.19.4,443,true,FRA,Europe,Frankfurt,265 ms,3202 kB/s
34.65.157.21,443,true,FRA,Europe,Frankfurt,226 ms,3061 kB/s
34.118.29.115,443,true,AMS,Europe,Amsterdam,262 ms,3014 kB/s
34.118.125.53,443,true,FRA,Europe,Frankfurt,271 ms,2968 kB/s
34.65.168.136,443,true,FRA,Europe,Frankfurt,226 ms,2852 kB/s
34.65.18.138,443,true,FRA,Europe,Frankfurt,239 ms,2771 kB/s
34.105.49.234,443,true,SEA,North America,Seattle,211 ms,2729 kB/s
34.65.179.48,443,true,FRA,Europe,Frankfurt,230 ms,2702 kB/s
34.65.68.162,443,true,FRA,Europe,Frankfurt,225 ms,2689 kB/s
34.154.79.65,443,true,FRA,Europe,Frankfurt,230 ms,2578 kB/s
34.89.250.229,443,true,FRA,Europe,Frankfurt,237 ms,2572 kB/s
34.65.170.142,443,true,FRA,Europe,Frankfurt,227 ms,2542 kB/s
34.154.153.45,443,true,FRA,Europe,Frankfurt,229 ms,2537 kB/s
34.89.186.157,443,true,FRA,Europe,Frankfurt,242 ms,2499 kB/s
34.154.29.94,443,true,FRA,Europe,Frankfurt,227 ms,2463 kB/s
34.154.223.40,443,true,FRA,Europe,Frankfurt,234 ms,2452 kB/s
34.65.243.157,443,true,AMS,Europe,Amsterdam,234 ms,2451 kB/s
34.65.156.232,443,true,FRA,Europe,Frankfurt,234 ms,2447 kB/s
35.246.215.24,443,true,FRA,Europe,Frankfurt,231 ms,2425 kB/s
34.118.104.248,443,true,FRA,Europe,Frankfurt,256 ms,2409 kB/s
34.65.233.172,443,true,FRA,Europe,Frankfurt,229 ms,2391 kB/s
34.65.176.196,443,true,FRA,Europe,Frankfurt,225 ms,2385 kB/s
34.65.216.106,443,true,FRA,Europe,Frankfurt,227 ms,2363 kB/s
34.90.101.178,443,true,FRA,Europe,Frankfurt,242 ms,2325 kB/s
34.65.187.167,443,true,FRA,Europe,Frankfurt,228 ms,2308 kB/s
34.118.127.195,443,true,FRA,Europe,Frankfurt,241 ms,2284 kB/s
34.89.190.224,443,true,FRA,Europe,Frankfurt,238 ms,2276 kB/s
34.91.227.44,443,true,FRA,Europe,Frankfurt,252 ms,2268 kB/s
34.118.40.250,443,true,FRA,Europe,Frankfurt,262 ms,2223 kB/s
34.65.230.9,443,true,FRA,Europe,Frankfurt,230 ms,2220 kB/s
34.65.81.138,443,true,FRA,Europe,Frankfurt,223 ms,2204 kB/s
34.116.241.27,443,true,FRA,Europe,Frankfurt,253 ms,2185 kB/s
34.154.183.238,443,true,FRA,Europe,Frankfurt,241 ms,2181 kB/s
34.65.43.245,443,true,FRA,Europe,Frankfurt,230 ms,2168 kB/s
34.116.251.225,443,true,FRA,Europe,Frankfurt,238 ms,2156 kB/s
34.65.235.165,443,true,FRA,Europe,Frankfurt,245 ms,2148 kB/s
34.154.53.213,443,true,FRA,Europe,Frankfurt,228 ms,2120 kB/s
34.65.184.13,443,true,FRA,Europe,Frankfurt,237 ms,2115 kB/s
34.91.18.119,443,true,FRA,Europe,Frankfurt,241 ms,2105 kB/s
34.154.211.48,443,true,FRA,Europe,Frankfurt,225 ms,2074 kB/s
34.159.22.24,443,true,FRA,Europe,Frankfurt,246 ms,2072 kB/s
34.118.123.17,443,true,FRA,Europe,Frankfurt,243 ms,2066 kB/s
34.118.27.183,443,true,FRA,Europe,Frankfurt,255 ms,2050 kB/s
34.65.191.40,443,true,FRA,Europe,Frankfurt,226 ms,2031 kB/s
34.118.62.37,443,true,FRA,Europe,Frankfurt,253 ms,2025 kB/s
34.91.198.247,443,true,FRA,Europe,Frankfurt,249 ms,2022 kB/s
34.118.123.62,443,true,FRA,Europe,Frankfurt,239 ms,2012 kB/s
34.65.111.170,443,true,FRA,Europe,Frankfurt,242 ms,1983 kB/s
34.65.202.210,443,true,FRA,Europe,Frankfurt,233 ms,1978 kB/s
34.32.212.100,443,true,FRA,Europe,Frankfurt,245 ms,1970 kB/s
34.116.248.223,443,true,FRA,Europe,Frankfurt,240 ms,1970 kB/s
34.65.3.109,443,true,FRA,Europe,Frankfurt,234 ms,1921 kB/s
34.90.252.67,443,true,FRA,Europe,Frankfurt,242 ms,1906 kB/s
34.147.66.36,443,true,FRA,Europe,Frankfurt,232 ms,1868 kB/s
34.65.165.247,443,true,FRA,Europe,Frankfurt,227 ms,1827 kB/s
34.116.249.21,443,true,FRA,Europe,Frankfurt,262 ms,1801 kB/s
34.147.59.133,443,true,FRA,Europe,Frankfurt,231 ms,1791 kB/s
34.118.77.33,443,true,FRA,Europe,Frankfurt,253 ms,1779 kB/s
34.154.184.119,443,true,FRA,Europe,Frankfurt,226 ms,1766 kB/s
34.116.187.139,443,true,AMS,Europe,Amsterdam,249 ms,1752 kB/s
34.118.61.66,443,true,FRA,Europe,Frankfurt,249 ms,1738 kB/s
34.89.144.176,443,true,FRA,Europe,Frankfurt,235 ms,1723 kB/s
34.116.128.178,443,true,FRA,Europe,Frankfurt,254 ms,1701 kB/s
34.118.85.231,443,true,FRA,Europe,Frankfurt,242 ms,1686 kB/s
34.118.105.183,443,true,FRA,Europe,Frankfurt,246 ms,1638 kB/s
34.90.91.163,443,true,FRA,Europe,Frankfurt,242 ms,1532 kB/s
34.65.225.189,443,true,FRA,Europe,Frankfurt,223 ms,1510 kB/s
34.65.132.85,443,true,FRA,Europe,Frankfurt,231 ms,1474 kB/s
34.65.154.70,443,true,FRA,Europe,Frankfurt,230 ms,1468 kB/s
34.116.178.230,443,true,FRA,Europe,Frankfurt,265 ms,1457 kB/s
34.118.1.108,443,true,FRA,Europe,Frankfurt,241 ms,1427 kB/s
34.116.223.193,443,true,FRA,Europe,Frankfurt,243 ms,1417 kB/s
34.65.219.255,443,true,FRA,Europe,Frankfurt,231 ms,1411 kB/s
34.116.192.231,443,true,FRA,Europe,Frankfurt,240 ms,1283 kB/s
34.118.25.155,443,true,FRA,Europe,Frankfurt,251 ms,1144 kB/s
34.91.133.41,443,true,FRA,Europe,Frankfurt,245 ms,1078 kB/s
34.118.32.226,443,true,FRA,Europe,Frankfurt,246 ms,1036 kB/s
34.118.111.23,443,true,FRA,Europe,Frankfurt,248 ms,995 kB/s
34.118.115.199,443,true,FRA,Europe,Frankfurt,245 ms,985 kB/s
34.118.71.245,443,true,FRA,Europe,Frankfurt,267 ms,953 kB/s
35.229.161.32,443,true,TPE,Asia Pacific,Taipei,76 ms,857 kB/s
34.154.29.165,443,true,FRA,Europe,Frankfurt,239 ms,854 kB/s
34.32.232.154,443,true,FRA,Europe,Frankfurt,240 ms,828 kB/s
34.118.58.201,443,true,FRA,Europe,Frankfurt,264 ms,780 kB/s
34.154.195.165,443,true,FRA,Europe,Frankfurt,240 ms,777 kB/s
35.204.225.94,443,true,FRA,Europe,Frankfurt,236 ms,732 kB/s
34.65.138.124,443,true,FRA,Europe,Frankfurt,235 ms,531 kB/s
34.118.91.209,443,true,FRA,Europe,Frankfurt,265 ms,505 kB/s
34.91.50.232,443,true,FRA,Europe,Frankfurt,249 ms,399 kB/s
34.107.1.24,443,true,FRA,Europe,Frankfurt,229 ms,166 kB/s
34.65.97.221,443,true,FRA,Europe,Frankfurt,221 ms,147 kB/s
34.118.127.11,443,true,FRA,Europe,Frankfurt,245 ms,11 kB/s
34.118.87.30,443,true,FRA,Europe,Frankfurt,253 ms,0 kB/s
34.89.247.203,443,true,FRA,Europe,Frankfurt,243 ms,0 kB/s
34.65.158.174,443,true,FRA,Europe,Frankfurt,224 ms,0 kB/s
34.65.216.72,443,true,FRA,Europe,Frankfurt,232 ms,0 kB/s
34.65.18.192,443,true,FRA,Europe,Frankfurt,226 ms,0 kB/s
34.65.230.145,443,true,FRA,Europe,Frankfurt,242 ms,0 kB/s
34.118.99.126,443,true,FRA,Europe,Frankfurt,255 ms,0 kB/s
34.105.3.218,443,true,SEA,North America,Seattle,214 ms,0 kB/s
34.65.172.12,443,true,FRA,Europe,Frankfurt,237 ms,0 kB/s
34.116.172.212,443,true,FRA,Europe,Frankfurt,251 ms,0 kB/s
34.118.107.171,443,true,FRA,Europe,Frankfurt,247 ms,0 kB/s
